timestamp,protocol,chain_id,block_number,transaction_hash,user_address,token_in,token_out,amount_in,amount_out,affiliate_fee,volume_usd,affiliate_fee_usd
,relay,,32900002,,,,,,,,1755899297,25571692
,relay,,32900002,,,,,,,,1755899298,25571692
,relay,,32900002,,,,,,,,1755899298,25571692
,relay,,32900002,,,,,,,,1755899298,25499779
,relay,,32900002,,,,,,,,1755899299,25499779
,relay,,32900002,,,,,,,,1755899299,25499779
,relay,,32900003,,,,,,,,1755899299,46591759
,relay,,32900003,,,,,,,,1755899299,46591759
,relay,,32900003,,,,,,,,1755899300,46591759
,relay,,32900011,,,,,,,,1755899305,26516724
,relay,,32900011,,,,,,,,1755899305,26516724
,relay,,32900011,,,,,,,,1755899305,26516724
,relay,,32900013,,,,,,,,1755899306,25894652
,relay,,32900013,,,,,,,,1755899306,25894652
,relay,,32900013,,,,,,,,1755899306,25894652
,relay,,32900013,,,,,,,,1755899307,25894652
,relay,,32900014,,,,,,,,1755899310,27711509
,relay,,32900014,,,,,,,,1755899311,27711509
,relay,,32900014,,,,,,,,1755899311,27711509
,relay,,32900020,,,,,,,,1755899315,35730041
,relay,,32900020,,,,,,,,1755899315,35730041
,relay,,32900020,,,,,,,,1755899316,35730041
,relay,,32900024,,,,,,,,1755899319,27180444
,relay,,32900024,,,,,,,,1755899319,27180444
,relay,,32900024,,,,,,,,1755899319,27180444
,relay,,32900033,,,,,,,,1755899323,26614469
,relay,,32900033,,,,,,,,1755899324,26614469
,relay,,32900033,,,,,,,,1755899324,26614469
,relay,,32900038,,,,,,,,1755899327,27132012
,relay,,32900038,,,,,,,,1755899327,27132012
,relay,,32900038,,,,,,,,1755899327,27132012
,relay,,32900041,,,,,,,,1755899328,25875751
,relay,,32900041,,,,,,,,1755899328,25875751
,relay,,32900041,,,,,,,,1755899328,25875751
,relay,,32900041,,,,,,,,1755899329,25875751
,relay,,32900041,,,,,,,,1755899329,25875751
,relay,,32900046,,,,,,,,1755899332,26344413
,relay,,32900046,,,,,,,,1755899333,26344413
,relay,,32900046,,,,,,,,1755899333,26344413
,relay,,32900050,,,,,,,,1755899333,27762983
,relay,,32900050,,,,,,,,1755899334,27762983
,relay,,32900050,,,,,,,,1755899334,27762983
,relay,,32900050,,,,,,,,1755899334,27593054
,relay,,32900050,,,,,,,,1755899334,27593054
,relay,,32900050,,,,,,,,1755899335,27593054
,relay,,32900050,,,,,,,,1755899335,27392741
,relay,,32900050,,,,,,,,1755899336,27392741
,relay,,32900050,,,,,,,,1755899336,27392741
,relay,,32900051,,,,,,,,1755899336,33894334
,relay,,32900051,,,,,,,,1755899337,33894334
,relay,,32900051,,,,,,,,1755899337,33894334
,relay,,32900058,,,,,,,,1755899343,26314601
,relay,,32900058,,,,,,,,1755899343,26314601
,relay,,32900058,,,,,,,,1755899344,26314601
,relay,,32900059,,,,,,,,1755899344,23725903
,relay,,32900059,,,,,,,,1755899344,23725903
,relay,,32900059,,,,,,,,1755899345,23725903
,relay,,32900064,,,,,,,,1755899347,47865815
,relay,,32900064,,,,,,,,1755899348,47865815
,relay,,32900064,,,,,,,,1755899348,47865815
,relay,,32900064,,,,,,,,1755899348,46800000
,relay,,32900064,,,,,,,,1755899349,46800000
,relay,,32900064,,,,,,,,1755899349,46800000
,relay,,32900066,,,,,,,,1755899351,46800000
,relay,,32900066,,,,,,,,1755899351,46800000
,relay,,32900066,,,,,,,,1755899351,46800000
,relay,,32900067,,,,,,,,1755899352,46500000
,relay,,32900067,,,,,,,,1755899352,46500000
,relay,,32900067,,,,,,,,1755899352,46500000
,relay,,32900067,,,,,,,,1755899354,46279169
,relay,,32900067,,,,,,,,1755899354,46279169
,relay,,32900067,,,,,,,,1755899354,46279169
,relay,,32900068,,,,,,,,1755899355,46500000
,relay,,32900068,,,,,,,,1755899356,46500000
,relay,,32900068,,,,,,,,1755899356,46500000
,relay,,32900068,,,,,,,,1755899357,46386057
,relay,,32900068,,,,,,,,1755899357,46386057
,relay,,32900068,,,,,,,,1755899357,46386057
,relay,,32900068,,,,,,,,1755899358,25427490
,relay,,32900068,,,,,,,,1755899358,25427490
,relay,,32900068,,,,,,,,1755899359,25427490
,relay,,32900068,,,,,,,,1755899359,23330525
,relay,,32900068,,,,,,,,1755899359,23330525
,relay,,32900068,,,,,,,,1755899359,23330525
,relay,,32900068,,,,,,,,1755899360,25663577
,relay,,32900068,,,,,,,,1755899360,25663577
,relay,,32900068,,,,,,,,1755899360,25663577
,relay,,32900069,,,,,,,,1755899361,23115900
,relay,,32900069,,,,,,,,1755899361,23115900
,relay,,32900069,,,,,,,,1755899361,23115900
,relay,,32900070,,,,,,,,1755899362,25170878
,relay,,32900070,,,,,,,,1755899362,25170878
,relay,,32900070,,,,,,,,1755899363,25170878
,relay,,32900077,,,,,,,,1755899367,33411694
,relay,,32900077,,,,,,,,1755899367,33411694
,relay,,32900077,,,,,,,,1755899367,33411694
,relay,,32900085,,,,,,,,1755899372,21013153
,relay,,32900085,,,,,,,,1755899372,21013153
